,source,created_at,text,author_id,id,geo.place_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,geo.coordinates.type,geo.coordinates.coordinates,country,full_name,Timeline
216,Twitter for iPhone,2021-02-21T12:48:03.000Z,"Great article about the role of academic research in how the COVID-19 vaccines came to be, and so quickly. https://t.co/D7GhYIhRg3",7001972,1363470540682506241,4ec01c9dbc693497,0,0,2,0,,,United States,"Florida, USA",During_Feb
217,Twitter for iPhone,2021-02-19T14:50:42.000Z,@milleni26591534 Pacific Biosciences Announces LabCorp Will Use PacBio's HiFi Sequencing to Detect SARS-CoV-2 Variants in the U.S. #PACB #NYSE,122905398,1362776631094497280,4ec01c9dbc693497,0,1,1,0,,,United States,"Florida, USA",During_Feb
218,Twitter for iPhone,2021-02-24T08:36:28.000Z,"@US_FDA the @CDCgov says:

“Antigen tests can be used for screening testing in high-risk congregate settings in which repeat testing could quickly identify persons with a SARS-CoV-2 infection to inform infection prevention and control measures, thus preventing transmission.” https://t.co/AF5AVHuWo4",22432322,1364494389737848835,4ec01c9dbc693497,1,1,2,0,,,United States,"Florida, USA",During_Feb
219,Twitter for iPhone,2021-02-26T12:18:37.000Z,Publix now administering COVID-19 vaccines at all 730 Florida pharmacies #FOX35 https://t.co/5w1EI1nxrp,58792996,1365275071623925762,4ec01c9dbc693497,0,0,0,0,,,United States,"Florida, USA",During_Feb
220,Twitter for Android,2021-02-16T00:00:33.000Z,No Florida Teachers to receive Covid- 19 Vaccines .  So wicked and evil https://t.co/LWrK2S6MTH,78111600,1361465453122641924,4ec01c9dbc693497,0,0,0,0,,,United States,"Florida, USA",During_Feb
221,Twitter for iPhone,2021-02-18T19:59:00.000Z,@BernieSanders Amen! BTW Florida Governor Desantis needs to distribute the COVID 19 Vaccines equally! Sending 3000 vaccines exclusively to residents of the predominantly Republican affluent  white community of Lakewood Ranch while other citizens have to share sites by lottery is atrocious!!!,564245841,1362491828499591168,4ec01c9dbc693497,0,1,0,0,,,United States,"Florida, USA",During_Feb
222,Twitter for iPhone,2021-02-27T13:42:26.000Z,This bill will also ramp up vaccine distribution and extend unemployment benefits through the summer. https://t.co/QjOe7pCndh,881974187589603328,1365658555257401354,4ec01c9dbc693497,13,4,116,0,,,United States,"Florida, USA",During_Feb
223,Twitter for iPhone,2021-02-25T07:16:05.000Z,"@cleebennett @ChaseTMAnderson @JournalGIM @MayaYiadom @ReganHMarsh @bernardchangMD @StanfordEMED @EMRES_MGHBWH @jack_turban Part of this is not having pipelines to  help non-trad stus. Am non-trad MD PhD who can sequence SARS-CoV-2 if need be. Instead, am languishing between institutions. Funder’s feedback: I don’t fit the profile of a trainee that they’d fund. Welp. Will get back to seq’ing viruses..",770152793491382272,1364836550375317505,4ec01c9dbc693497,0,0,0,0,,,United States,"Florida, USA",During_Feb
224,Twitter for Android,2021-02-14T17:23:57.000Z,"@EndGameWW3 @NBCNews HAL.lllelujah(SARS-COV-2.7182818284590452353602874713527);
🔥 OhSay CanYouSee InThaLords HolyLights 🙏 
⛓VinesOfTyranny OverGrownTha CrossOfLiberty 🙏 https://t.co/HQWGi7ihCa",1293273722212757507,1361003257695531009,4ec01c9dbc693497,0,0,0,0,,,United States,"Florida, USA",During_Feb
225,Twitter for iPhone,2021-02-23T21:22:07.000Z,"NJ’s #AMAzing physicians continued to make moves during #AMANAC &amp; met w Hillary @RepAndyKimNJ to discuss:

👵🏽👴🏻 Medicare Sequester Extension

💉 Request COVID-19 Vaccines to be distributed to PCPs

💻🧑🏻‍⚕️Telehealth

🌿 Rescheduling Marijuana into Schedule III of CDS 

🤰🏾MOMMA's Act https://t.co/07mipRH3Y7",67311924,1364324686470000644,65b4760a2b411e11,3,0,6,0,,,United States,"New Jersey, USA",During_Feb
