,created_at,text,source,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,country,full_name,Timeline,cleaned_tweet_text,LDA_clean_text,EMPATH_scores,Hesitation,Sorrow,Faith,Contentment,Anticipation,Rage,Vaccine Rollout,Inequities,Health Effects,Misinformation,final_category
10,2020-09-22,"This projection from mid-June was accurate nearly within a week.

The same model now projects 378,000 coronavirus deaths by January 1. https://t.co/hXPf7LuQVy",Twitter for iPhone,3682,151,5483,212,United States,"Washington, DC",Before_Sep,projection midjune accurate nearly within model projects coronavirus deaths january,projection midjune accurate nearly within model projects deaths january,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vaccine Rollout
11,2020-09-28,"“If every one of us” wore a mask, Redfield told me, “this pandemic would be over in eight to 12 weeks,” before offering a stark warning that contradicts the president's assertion the country is “rounding the corner” on coronavirus. “We’re nowhere near the end,” Redfield said.",Twitter for iPhone,1187,85,2228,105,United States,"Washington, DC",Before_Sep,every redfield pandemic would eight weeks offering stark warning contradicts presidents assertion country rounding corner coronavirus nowhere redfield,every redfield would eight weeks offering stark warning contradicts presidents assertion country rounding corner nowhere redfield,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vaccine Rollout
12,2020-09-21,"Biden aides believed they were winning when the race was about the coronavirus pandemic. Now they plan to use the Supreme Court opening as a raucous new field for a health care fight, returning to a theme that gave Democrats big midterm wins in 2018 

https://t.co/B0Yk6DkQwV",Twitter for iPhone,444,63,1968,29,United States,"Washington, DC",Before_Sep,biden aides believed winning coronavirus pandemic supreme court opening raucous field health fight returning theme democrats midterm,biden aides believed winning supreme court opening raucous field health fight returning theme democrats midterm,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.058823529411764705, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Faith
13,2020-09-21,"DNC NOW outside White House &gt;&gt;
“TRUMP LIED 200,000 DIED”
Demonstrators marking a grim moment for the nation’s #coronavirus death toll this weekend @WUSA9 @CBSNews https://t.co/vFHWbEEuU0",Twitter for iPhone,345,16,690,23,United States,"Washington, DC",Before_Sep,outside white house trump demonstrators marking moment nations coronavirus death weekend,outside white house trump demonstrators marking moment nations death weekend,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vaccine Rollout
14,2020-09-16,"NEW: statement from @CDCDirector Dr Redfield (h/t @AnneKFlaherty)

“I 100% believe in the importance of vaccines and the importance in particular of a COVID-19 vaccine. A COVID-19 vaccine is the thing that will get Americans back to normal everyday life...” (Continued)  (1/2)",Twitter for iPhone,6,1,15,0,United States,"Washington, DC",Before_Sep,statement redfield believe importance vaccines importance particular covid19 vaccine covid19 vaccine thing americans normal everyday continued,statement redfield believe importance importance particular covid19 covid19 thing americans normal everyday continued,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0625, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Faith
15,2020-09-22,"The US just crossed 200,000 coronavirus deaths. Therefore a new Supreme Court justice must be confirmed before the election",Twitter for iPhone,65,34,594,4,United States,"Washington, DC",Before_Sep,crossed coronavirus deaths therefore supreme court justice confirmed election,crossed deaths therefore supreme court justice confirmed election,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.1111111111111111, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.1111111111111111}",0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,Misinformation
16,2020-09-29,One million people. That’s how many lives Coronavirus has taken. Taking any and all measures to protect yourself and others is not political. It’s not up for debate. It’s our duty to humanity. Please take it seriously.,Twitter for iPhone,32,15,417,0,United States,"Washington, DC",Before_Sep,million people thats lives coronavirus taken taking measures protect others political debate humanity please seriously,million people thats lives taken taking measures protect others political debate humanity please seriously,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.06666666666666667, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.06666666666666667, 'Vaccine Rollout': 0.0, 'Inequities': 0.06666666666666667, 'Health Effects': 0.0, 'Misinformation': 0.06666666666666667}",0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,Rage
17,2020-09-21,"Final Photos of the Night &gt;&gt;
DNC “Trump Lied 200,000 Died” display on the Ellipse...

US #coronavirus death toll:
Nearly 2.5 times the number of U.S. service members who died in battle in Vietnam &amp; Korean Wars combined, with about 800 people still dying daily.
@WUSA9 @CBSNews https://t.co/lMLduRjVPV",Twitter for iPhone,27,1,44,4,United States,"Washington, DC",Before_Sep,final photos night trump display ellipse coronavirus death nearly times number service members battle vietnam korean combined people still dying daily,final photos night trump display ellipse death nearly times number service members battle vietnam korean combined people still dying daily,"{'Hesitation': 0.0, 'Sorrow': 0.047619047619047616, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sorrow
18,2020-09-17,I’m reliably informed by conservative media that anyone who even questions the safety of a vaccine rushed out by the Trump administration is an anti-vaxxer no less loony than a QAnon kook. https://t.co/gjmVDqWaPc,Twitter for iPhone,10,2,67,2,United States,"Washington, DC",Before_Sep,reliably informed conservative media anyone questions safety vaccine rushed trump administration antivaxxer loony qanon,reliably informed conservative media anyone questions safety rushed trump administration antivaxxer loony qanon,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vaccine Rollout
19,2020-09-14,"Hear me out. What about a bill that has $300 UI, $105 billion for schools, $16 billion for testing, $20 billion for vaccines and therapeutics, and billions more for a second round of PPP? https://t.co/Lmooa6c4LM",Twitter for iPhone,12,2,63,2,United States,"Washington, DC",Before_Sep,billion schools billion testing billion vaccines therapeutics billions second round,billion schools billion testing billion therapeutics billions second round,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vaccine Rollout
20,2020-09-16,@realDonaldTrump herd immunity?  2-3M American deaths? There’s a reason no other nation is doing this. You are the pandemic. Voting is the vaccination. #HerdMentality https://t.co/FrykQxLeui,Twitter for iPad,34,6,65,4,United States,"Washington, DC",Before_Sep,immunity american deaths theres reason nation pandemic voting vaccination herdmentality,american deaths theres reason nation voting herdmentality,"{'Hesitation': 0.0, 'Sorrow': 0.1, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.1, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,Sorrow
21,2020-09-12,Former Green Bay Packers and Seattle Seahawks coach Mike Holmgren will host a virtual press conference today for @JoeBiden to discuss how Trump’s “mishandled coronavirus response has hurt Green Bay businesses” — including a $160M economic impact hit with no fans at Packers games. https://t.co/UyVCDZXJ6k,Twitter for iPhone,21,0,36,1,United States,"Washington, DC",Before_Sep,former green packers seattle seahawks coach holmgren virtual press conference today discuss trumps mishandled coronavirus response green businesses including economic impact packers games,former green packers seattle seahawks coach holmgren virtual press conference today discuss trumps mishandled response green businesses including economic impact packers games,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.043478260869565216, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,Vaccine Rollout
22,2020-09-16,"And statement from spox for @CDCDirector Dr Redfield on what he said at today’s hearing re vaccine timeline 

(h/t @AnneKFlaherty) https://t.co/BZAeNOoZWI",Twitter for iPhone,22,18,35,18,United States,"Washington, DC",Before_Sep,statement redfield todays hearing vaccine timeline,statement redfield todays hearing timeline,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vaccine Rollout
23,2020-09-24,"The highlight of my day was @RandPaul reading an explanation to Anthony Fauci how immunity works. 

I take joy wherever I can get it.",Twitter for iPhone,1018,243,11249,60,United States,"Edina, MN",Before_Sep,highlight reading explanation anthony fauci immunity works wherever,highlight reading explanation anthony fauci works wherever,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vaccine Rollout
24,2020-09-15,Climate change is like a pandemic with no masks or vaccines.,Twitter for iPhone,1526,109,8152,55,United States,"Edina, MN",Before_Sep,climate change pandemic masks vaccines,climate change masks,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vaccine Rollout
25,2020-09-20,"Mike Pence describes a vaccine not as science but as a “miracle.”

So grateful for all the “miraclists” working in the labs across the world.",Twitter for iPhone,811,150,6408,54,United States,"Edina, MN",Before_Sep,pence describes vaccine science miracle grateful miraclists working across world,pence describes science miracle grateful miraclists working across world,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.1, 'Contentment': 0.1, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Faith
26,2020-09-26,"Message for “herders” (pick one: herd immunity, herd mentality, or herd thinner): 200,000 lives is too high a price to pay.

Even if we cut the death rate in half, which I believe we can, the cost of 50% immunity is another 400,000 American lives. 6/",Twitter for iPhone,286,10,1581,7,United States,"Edina, MN",Before_Sep,message herders immunity mentality thinner lives price death believe immunity another american lives,message herders mentality thinner lives price death believe another american lives,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.07692307692307693, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Faith
27,2020-09-26,"200,000 people died and only 9% of the public has been infected.

A year from now will those 9% have immunity? We don’t know.

We still don’t understand what immunity is conferred, how long it lasts, and how many strains are covered. 5/",Twitter for iPhone,291,10,1517,4,United States,"Edina, MN",Before_Sep,people public infected immunity still understand immunity conferred lasts strains covered,people public infected still understand conferred lasts strains covered,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.09090909090909091, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.09090909090909091, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,Rage
28,2020-09-16,"1. THE SILVER BULLET. Trump’s entire strategy is a vaccine which in his mind ends this thing. And that’s a problem for a few reasons...

-The bar for a a vaccine is 50% improvement &amp; likely temporary. It is part of a strategy. Not A strategy. 5/",Twitter for iPhone,285,13,1642,24,United States,"Edina, MN",Before_Sep,silver bullet trumps entire strategy vaccine thing thats problem reasons vaccine improvement likely temporary strategy strategy,silver bullet trumps entire strategy thing thats problem reasons improvement likely temporary strategy strategy,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.1875}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,Misinformation
